Month,Date,Sale-off,Global,United States,Mexico,Brazil,Russian Federation,Ukraine,Germany,France,Indonesia,"Korea, Republic of",Viet Nam,Japan,Italy,India,Turkey,Thailand,Malaysia,United Arab Emirates
6,6,70%,a,💥 Super Sale 6:6 💥,💥 Super Ofertas 6:6 💥,💥 Super Venda 6:6 💥,💥 Супер распродажа 6:6 💥,💥 Супер розпродаж 6:6 💥,💥 Super Sale 6:6 💥,💥 Super Vente 6:6 💥,💥 Obral Super 6:6 💥,💥 슈퍼세일 6:6 💥,💥 Siêu Sale 6:6 💥,💥スーパーセール6：6💥,💥 Super vendita 6:6 💥,💥 सुपर सेल 6:6 💥,💥 Süper İndirim 6:6 💥,💥 ลดสุดๆ 6:6 💥,💥 Super Sale 6:6 💥,💥 سوبر سيل 6: 6 💥
6,26,70%,a,💥 Super Sale Goodbye June! 💥,💥 ¡Super Ofertas Adiós junio! 💥,💥 Super Sale Goodbye June! 💥,"💥 Супер распродажа, до свидания, июнь! 💥","💥 Супер розпродаж До побачення, червень! 💥",💥 Super Sale Auf Wiedersehen Juni! 💥,💥 Super Solde Au revoir juin ! 💥,💥 Super Sale Selamat tinggal Juni! 💥,💥 슈퍼세일 굿바이 6월! 💥,💥 Siêu Sale Tạm Biệt Tháng 6! 💥,💥スーパーセールさようなら6月！ 💥,💥 Super Saldi Arrivederci giugno! 💥,💥 सुपर सेल अलविदा जून! मैं 💥,💥 Süper İndirim Elveda Haziran! 💥,💥 Super Sale ลาก่อนมิถุนายน! 💥,💥 Super Sale Selamat tinggal Jun! 💥,💥 سوبر سيل وداعا يونيو! 💥
7,7,70%,a,💥 Super Sale 7:7 💥,💥 Super Ofertas 7:7 💥,💥 Super Venda 7:7 💥,💥 Супер распродажа 7:7 💥,💥 Супер розпродаж 7:7 💥,💥 Super Sale 7:7 💥,💥 Super Vente 7:7 💥,💥 Obral Super 7:7 💥,💥 7:7 슈퍼세일 💥,💥 Siêu Sale 7:7 💥,💥スーパーセール7：7💥,💥 Super vendita 7:7 💥,💥 सुपर सेल 7:7 💥,💥 Süper İndirim 7:7 💥,💥 ลดสุดๆ 7:7 💥,💥 Super Sale 7:7 💥,💥 بيع سوبر 7: 7 💥
7,16-18,70%,a,💥 Super Sale Happy Summer! 💥,💥 ¡Super Ofertas Feliz Verano! 💥,💥 Super Sale Feliz Verão! 💥,"💥 Супер распродажа, счастливого лета! 💥",💥 Супер розпродаж щасливого літа! 💥,💥 Super Sale Frohen Sommer! 💥,💥 Super Solde Joyeux été ! 💥,💥 Super Sale Selamat Musim Panas! 💥,💥 슈퍼세일 해피 여름! 💥,💥 Siêu Sale Vui Hè! 💥,💥スーパーセールハッピーサマー！ 💥,💥 Super Saldi Buona Estate! 💥,💥 सुपर सेल हैप्पी समर! मैं 💥,💥 Süper İndirim Mutlu Yazlar! 💥,💥 ลดสุดๆ ต้อนรับซัมเมอร์! 💥,💥 Super Sale Selamat Musim Panas! 💥,💥 تخفيضات سوبر صيف سعيد! 💥
7,30,70%,a,💥 Happy Friendship Day! 💥,💥 ¡Feliz Día de la Amistad! 💥,💥 Feliz Dia da Amizade! 💥,💥 С Днем дружбы! 💥,💥 З Днем дружби! 💥,💥 Alles Gute zum Tag der Freundschaft! 💥,💥 Bonne fête de l'amitié ! 💥,💥 Selamat Hari Persahabatan! 💥,💥 행복한 우정의 날! 💥,💥 Chúc Mừng Ngày Tình Bạn! 💥,💥ハッピーフレンドシップデー！ 💥,💥 Buona Giornata dell'Amicizia! 💥,💥 हैप्पी फ्रेंडशिप डे! मैं 💥,💥 Dostluk Günü kutlu olsun! 💥,💥 สุขสันต์วันมิตรภาพ! 💥,💥 Selamat Hari Persahabatan! 💥,💥 عيد صداقة سعيد! 💥
8,3-5,70%,a,💥 Back to School Super Sale 💥,💥 Super Ofertas Día de Regreso a Clases 💥,💥 Super oferta de volta às aulas 💥,💥 Супер предложение снова в школу 💥,💥 Супер предложение снова в школу 💥,💥 Back to School Super Sale 💥,💥 Super Offre Rentrée 💥,💥 Penawaran Super Kembali ke Sekolah 💥,💥 백 투 스쿨 슈퍼 세일 💥,💥 Siêu Ưu Đãi Ngày Tựu Trường 💥,💥学校に戻るスーパーオファー💥,💥 Super Offerta Ritorno a Scuola 💥,💥 बैक टू स्कूल पर सुपर छूट 💥,💥 Okula Dönüş Süper Fırsatı 💥,💥 ข้อเสนอสุดพิเศษ Back to School 💥,💥 Tawaran Super Kembali ke Sekolah 💥,💥 عرض سوبر في يوم المدرسة 💥
8,20-22,70%,a,💥 Big Sale August 💥,💥 Gran ofertas de agosto 💥,💥 Grande promoção em agosto 💥,💥 Большая распродажа в августе 💥,💥 Великий розпродаж у серпні 💥,💥 Großer Verkauf August 💥,💥 Grande Vente Août 💥,💥 Obral Besar Agustus 💥,💥 8월 빅세일 💥,💥 Ưu Đãi Lớn Tháng 8 💥,💥ビッグセール8月💥,💥 Grande Saldo Agosto 💥,💥 बड़ी बिक्री अगस्त 💥,💥 Büyük İndirim Ağustos 💥,💥 ลดราคาครั้งใหญ่ เดือนสิงหาคม 💥,💥 Jualan Besar Ogos 💥,💥 تخفيضات كبيرة في أغسطس 💥
9,9,70%,a,💥 Super Sale 9:9 💥,💥 Super Ofertas 9:9 💥,💥 Super Venda 9:9 💥,💥 Супер распродажа 9:9 💥,💥 Супер розпродаж 9:9 💥,💥 Super Sale 9:9 💥,💥 Super Vente 9:9 💥,💥 Penjualan Super 9:9 💥,💥 슈퍼세일 9:9 💥,💥 Siêu Sale 9:9 💥,💥スーパーセール9：9💥,💥 Super vendita 9:9 💥,💥 सुपर सेल 9:9 💥,💥 Süper İndirim 9:9 💥,💥 ลดราคาสุดๆ 9:9 💥,💥 Super Sale 9:9 💥,💥 سوبر سيل 9: 9 💥
9,27-30,70%,a,💥 Super Sale Goodbye September! 💥,💥 Super Ofertas ¡Adiós septiembre! 💥,💥 Super Sale Goodbye September! 💥,"💥 Супер распродажа, до свидания, сентябрь! 💥","💥 Супер розпродаж До побачення, вересень! 💥",💥 Super Sale Auf Wiedersehen September! 💥,💥 Super Solde Au revoir septembre ! 💥,💥 Super Sale Selamat tinggal September! 💥,💥 슈퍼세일 굿바이 9월! 💥,💥 Siêu Sale Tạm Biệt Tháng 9! 💥,💥スーパーセールさようなら9月！ 💥,💥 Super Saldi Arrivederci Settembre! 💥,💥 सुपर सेल अलविदा सितंबर! मैं 💥,💥 Süper İndirim Elveda Eylül! 💥,💥 Super Sale บอกลากันยายน! 💥,💥 Super Sale Selamat tinggal September! 💥,💥 تخفيضات سوبر وداعا سبتمبر! 💥
10,10,70%,a,💥 Super Sale 10:10 💥,💥 Super Ofertas 10:10 💥,💥 Super Sale 10:10 💥,💥 Супер распродажа 10:10 💥,💥 Супер розпродаж 10:10 💥,💥 Super Sale 10:10 💥,💥 Super Vente 10:10 💥,💥 Obral Super 10:10 💥,💥 슈퍼세일 10:10 💥,💥 Siêu Sale 10:10 💥,💥スーパーセール10：10💥,💥 Super vendita 10:10 💥,💥 सुपर सेल 10:10 💥,💥 Süper İndirim 10:10 💥,💥 ลดราคาสุดๆ 10:10 💥,💥 Super Sale 10:10 💥,💥 سوبر سيل 10:10 💥
10,30-31,70%,a,💥 Super Sale Happy Halloween! 💥,💥 ¡Super Ofertas Feliz Halloween! 💥,💥 Super Venda Feliz Dia das Bruxas! 💥,💥 Супер распродажа с Хеллоуином! 💥,💥 Супер розпродаж Щасливого Хеллоуїна! 💥,💥 Super Sale Frohes Halloween! 💥,💥 Super Solde Joyeux Halloween ! 💥,💥 Super Sale Selamat Halloween! 💥,💥 슈퍼세일 해피 할로윈! 💥,💥 Siêu Sale Mừng Halloween! 💥,💥スーパーセールハッピーハロウィン！ 💥,💥 Super Saldi Buon Halloween! 💥,💥 सुपर सेल हैप्पी हैलोवीन! मैं 💥,💥 Süper İndirim Cadılar Bayramınız Kutlu Olsun! 💥,💥 ลดสุดๆ สุขสันต์วันฮาโลวีน! 💥,💥 Super Sale Selamat Halloween! 💥,💥 سوبر تخفيضات سعيدة هالوين! 💥
11,11,70%,a,💥 Super Sale Happy Singles' Day! 💥,💥 ¡Feliz día de los solteros de Super Sale! 💥,💥 Super Sale Feliz Dia dos Solteiros! 💥,💥 Супер распродажа с Днем холостяков! 💥,💥 Суперрозпродаж з Днем холостяків! 💥,💥 Super Sale Happy Singles' Day! 💥,💥 Super vente Bonne fête des célibataires ! 💥,💥 Super Sale Selamat Hari Jomblo! 💥,💥 슈퍼세일 해피 싱글의 날! 💥,💥 Siêu Sale Mừng Tết Độc Thân! 💥,💥スーパーセールハッピーシングルスデー！ 💥,💥 Super vendita Buona festa dei single! 💥,💥 सुपर सेल हैप्पी सिंगल्स डे! मैं 💥,💥 Süper İndirim Bekarlar Gününüz Kutlu Olsun! 💥,💥 Super Sale สุขสันต์วันคนโสด! 💥,💥 Super Sale Selamat Hari Bujang! 💥,💥 سوبر تخفيضات سعيدة يوم الفردي! 💥
11,26,70%,a,💥 Super Sale Black Friday 💥,💥 Super Ofertas Black Friday 💥,💥 Super Sale Black Friday 💥,💥 Супер распродажа Black Friday 💥,💥 Супер распродажа Black Friday 💥,💥 Super Sale Black Friday 💥,💥 Super Vente Black Friday 💥,💥 Super Sale Black Friday 💥,💥 슈퍼세일 Black Friday 💥,💥 Siêu Sale Black Friday 💥,💥スーパーセール Black Friday 💥,💥 Super Saldi Black Friday 💥,💥 सुपर सेल Black Friday 💥,💥 Süper İndirim Black Friday 💥,💥 Super Sale Black Friday 💥,💥 Super Sale Black Friday 💥,💥 سوبر تخفيضات Black Friday 💥
11,29,70%,a,💥 Super Sale Cyber Monday 💥 ,💥 Super Sale Cyber Monday 💥,💥 Super Sale Cyber Monday 💥,💥 Супер распродажа Cyber Monday 💥,💥 Супер распродажа Cyber Monday 💥,💥 Super Sale Cyber Monday 💥,💥 Super Solde Cyber Monday 💥,💥 Super Sale Cyber Monday 💥,💥 슈퍼세일 Cyber Monday 💥,💥 Siêu Giảm Giá Cyber Monday 💥,💥スーパーセール Cyber Monday 💥,💥 Cyber Monday Super Sale 💥,💥 सुपर सेल Cyber Monday 💥,💥 Süper İndirim Cyber Monday 💥,💥 Super Sale Cyber Monday 💥,💥 Super Sale Cyber Monday 💥,💥 التخفيضات الفائقة Cyber Monday 💥
12,12,70%,a,💥 Super Sale 12:12 💥,💥 Super Ofertas 12:12 💥,💥 Super Sale 12:12 💥,💥 Супер распродажа 12:12 💥,💥 Супер розпродаж 12:12 💥,💥 Super Sale 12:12 💥,💥 Super Vente 12:12 💥,💥 Obral Super 12:12 💥,💥 슈퍼세일 12:12 💥,💥 Siêu Sale 12:12 💥,💥スーパーセール12：12💥,💥 Super vendita 12:12 💥,💥 सुपर सेल 12:12 💥,💥 Süper İndirim 12:12 💥,💥 ลดสุดๆ 12:12 💥,💥 Super Sale 12:12 💥,💥 سوبر سيل 12:12 💥
12,24-25,70%,a,💥 Super Sale Merry Christmas! 💥,💥 ¡SSuper Ofertas Feliz Navidad! 💥,💥 Super Sale Feliz Natal! 💥,💥 Супер распродажа с Рождеством! 💥,💥 Супер розпродаж з Різдвом! 💥,💥 Super Sale Frohe Weihnachten! 💥,💥 Super Solde Joyeux Noël ! 💥,💥 Penjualan Super Selamat Natal! 💥,💥 슈퍼세일 메리 크리스마스! 💥,💥 Siêu Sale Mừng Giáng Sinh! 💥,💥スーパーセールメリークリスマス！ 💥,💥 Super Saldi Buon Natale! 💥,💥 सुपर सेल मेरी क्रिसमस! मैं 💥,💥 Süper İndirim Mutlu Noeller! 💥,💥 Super Sale สุขสันต์วันคริสต์มาส! 💥,💥 Super Sale Selamat Hari Natal! 💥,💥 سوبر بيع عيد ميلاد سعيد! 💥
